name,address,latitude,longitude,place_id,rating,status
McDonald's - Imperial,"Praça da Liberdade 126, 4000-322 Porto",41.1466697,-8.6108374,ChIJPZY6Y0s2ZkARocyIyHE1aOA,4.3,OPERATIONAL
McDonald's Rossio,"Praça Dom Pedro IV 81 83, 1100-202 Lisboa",38.714329299999996,-9.1389523,ChIJ4xfwQ4czGQ0RhmZto05QiYM,3.7,OPERATIONAL
McDonald's,"Pç do Marquês de Pombal 3, 1250-161 Lisboa",38.7245694,-9.1508837,ChIJMdZi3NszGQ0Rt0zJsVCpG_U,4.0,OPERATIONAL
McDonald's - Vila Real de Santo António,"R. do Norte 8, 8900-265 Vila Real de Santo António",37.1903381,-7.4358544,ChIJj9Exm-4jEA0R1Al3DomA2fM,3.8,OPERATIONAL
McDonald's Portugal,"Edif. 7 Piso 2, 2740-244 Porto Salvo",38.7137726,-9.3109068,ChIJVVVV4sTOHg0Rjv7qFuUK7O4,3.9,OPERATIONAL
McDonald's Parque das Nações,"Edifício Lisboa, Fração B e C, 1990-225 Lisboa",38.763642,-9.095685999999999,ChIJzytFAIQxGQ0RB_wSCbX0Kdc,3.9,OPERATIONAL
McDonald's,"Av. de Roma 3a 3B, 1000-260 Lisboa",38.7418566,-9.1381638,ChIJjZ4aTaQzGQ0RMXhxbZyo5XQ,3.9,OPERATIONAL
McDonald's,"Lugar da Corrieira,Quinta da Bela Vista Lt, E1, 8200-020 Albufeira",37.091375,-8.243051,ChIJnw_mVx_MGg0Rwcx-JHCMftw,3.6,OPERATIONAL
McDonald's - Largo do Chiado,"Largo do Chiado 4 a 7, 1200-108 Lisboa",38.710395299999995,-9.141905699999999,ChIJf_Tb_H40GQ0RIua4HiR8m_U,3.8,OPERATIONAL
McDonald's Praia de Santo Amaro,"Parque, Largo Alm. Gago Coutinho, 2780-322 Oeiras",38.685452999999995,-9.313134999999999,ChIJy6EuwCTJHg0RMJtGvIf9t0M,4.0,OPERATIONAL
McDonald's,"R. Sebastião José de Carvalho e Melo 15-17, 2750-000 Cascais",38.700007,-9.4186429,ChIJ751faC7EHg0RZeG2NY98eVs,4.0,OPERATIONAL
